U,d,sigma1,sigma2,sigma3,r,t,e,a,b,n
22,2379,3,3,0,3,3,793,1430,1,1431
22,2413,81,81,0,1,1,2413,2794,81,2875
22,2413,513,171,0,1,1,2413,2662,513,3175
22,2415,735,2205,0,5,5,483,88,441,529
22,2415,1875,1875,0,5,5,483,154,375,529
22,2448,16,16,0,16,16,153,374,1,375
22,2451,729,2187,0,3,3,817,1672,729,2401
22,2457,27,81,0,9,9,273,616,9,625
22,2465,2465,2465,0,17,17,145,198,145,343
22,2485,1,1,0,1,1,2485,10934,1,10935
22,2520,24,72,0,8,8,315,616,9,625
22,2535,2535,2535,0,1,1,2535,946,2535,3481
22,2553,529,529,0,1,1,2553,4070,529,4599
22,2601,17,17,0,17,17,153,374,1,375
22,2610,2610,2610,0,18,18,145,198,145,343
22,2625,1813,1813,0,1,1,2625,1562,1813,3375
22,2652,108,108,0,4,4,663,1078,27,1105
22,2665,243,729,0,1,1,2665,15400,729,16129
22,2703,189,1323,0,3,3,901,1408,441,1849
22,2709,189,1323,0,3,3,903,1408,441,1849
22,2718,162,486,0,6,6,453,1144,81,1225
22,2726,54,486,0,2,2,1363,5632,243,5875
22,2730,30,90,0,10,10,273,616,9,625
22,2754,18,18,0,18,18,153,374,1,375
22,2755,2755,2755,0,19,19,145,198,145,343
22,2773,27,243,0,1,1,2773,5632,243,5875
22,2793,147,441,0,1,1,2793,3784,441,4225
22,2793,645,1935,0,1,1,2793,14872,1935,16807
22,2835,27,81,0,9,9,315,616,9,625
22,2898,882,2646,0,6,6,483,88,441,529
22,2898,2250,2250,0,6,6,483,154,375,529
22,2900,2900,2900,0,20,20,145,198,145,343
22,2907,19,19,0,19,19,153,374,1,375
22,3003,33,99,0,11,11,273,616,9,625
22,3013,243,243,0,1,1,3013,2882,243,3125
22,3015,405,2025,0,1,1,3015,2464,2025,4489
