U,d,sigma1,sigma2,sigma3,r,t,e,a,b,n
2,105043,15625,0,0,1,1,105043,243486,15625,259111
2,105043,22201,0,0,1,1,105043,110450,22201,132651
2,105043,83667,0,0,1,1,105043,293750,83667,377417
2,105049,1,0,0,4,1,105049,117648,1,117649
2,105070,10,0,0,2,1,105070,184832,45,184877
2,105070,20,0,0,4,1,105070,184832,45,184877
2,105070,40,0,0,8,1,105070,184832,45,184877
2,105075,7939,0,0,1,1,105075,771750,7939,779689
2,105103,13,0,0,1,1,105103,151250,13,151263
2,105103,91,0,0,1,1,105103,1771470,91,1771561
2,105103,121,0,0,1,1,105103,533750,121,533871
2,105103,15625,0,0,1,1,105103,275562,15625,291187
2,105103,21125,0,0,1,1,105103,2048,232375,234423
2,105105,13,0,0,1,1,105105,151250,13,151263
2,105105,91,0,0,1,1,105105,1771470,91,1771561
2,105133,125,0,0,1,1,105133,212878,125,213003
2,105133,15625,0,0,1,1,105133,128,109375,109503
2,105133,16875,0,0,1,1,105133,76832,84375,161207
2,105177,72361,0,0,1,1,105177,559682,72361,632043
2,105183,29,0,0,4,1,105183,190096,29,190125
2,105243,42777,0,0,1,1,105243,492032,384993,877025
2,105245,11767,0,0,1,1,105245,102238,11767,114005
2,105259,31213,0,0,1,1,105259,128,218491,218619
2,105279,57,0,0,1,1,105279,162536,171,162707
2,105285,7921,0,0,1,1,105285,210570,7921,218491
2,105313,1,0,0,2,1,105313,336140,1,336141
2,105313,5265,0,0,1,1,105313,111392,26325,137717
2,105313,8101,0,0,4,1,105313,272816,8101,280917
2,105313,10125,0,0,1,1,105313,46592,91125,137717
2,105313,36875,0,0,1,1,105313,100842,36875,137717
2,105313,48841,0,0,1,1,105313,8192,634933,643125
2,105313,57967,0,0,1,1,105313,32,289835,289867
2,105313,78125,0,0,1,1,105313,303264,390625,693889
2,105315,1,0,0,1,1,105315,654074,1,654075
2,105315,27,0,0,1,1,105315,404600,81,404681
2,105315,59,0,0,2,1,105315,285660,59,285719
2,105315,125,0,0,1,1,105315,147968,1125,149093
2,105315,171,0,0,1,1,105315,1019912,513,1020425
2,105315,289,0,0,1,1,105315,143750,289,144039
2,105315,295,0,0,8,1,105315,406272,295,406567
2,105315,441,0,0,1,1,105315,116162,441,116603
2,105315,441,0,0,1,1,105315,320000,3969,323969
2,105315,529,0,0,1,1,105315,204850,529,205379
2,105315,723,0,0,1,1,105315,2087302,723,2088025
2,105315,875,0,0,1,1,105315,146528,4375,150903
2,105315,1083,0,0,1,1,105315,557192,3249,560441
2,105315,1121,0,0,1,1,105315,4258450,1121,4259571
2,105315,1205,0,0,1,1,105315,140454,1205,141659
2,105315,1377,0,0,1,1,105315,184832,12393,197225
2,105315,2891,0,0,1,1,105315,277150,2891,280041
2,105315,5589,0,0,1,1,105315,32768,83835,116603
2,105315,6137,0,0,1,1,105315,296352,30685,327037
2,105315,6647,0,0,1,1,105315,64000,59823,123823
2,105315,7125,0,0,1,1,105315,198254,7125,205379
2,105315,8993,0,0,1,1,105315,1062882,8993,1071875
2,105315,12167,0,0,1,1,105315,208224,60835,269059
2,105315,15625,0,0,1,1,105315,128,109375,109503
2,105315,26163,0,0,1,1,105315,49000,78489,127489
2,105315,29241,0,0,1,1,105315,123392,263169,386561
2,105315,38801,0,0,1,1,105315,200,116403,116603
2,105315,41553,0,0,1,1,105315,17000,124659,141659
2,105315,42483,0,0,1,1,105315,40,127449,127489
2,105315,42875,0,0,1,1,105315,1974754,42875,2017629
2,105315,43011,0,0,1,1,105315,1288,129033,130321
2,105315,48013,0,0,1,1,105315,167042,48013,215055
2,105315,80937,0,0,1,1,105315,28438,80937,109375
2,105315,83521,0,0,1,1,105315,455008,417605,872613
2,105315,87001,0,0,1,1,105315,1061174,87001,1148175
2,105315,91875,0,0,1,1,105315,139298,91875,231173
2,105315,97605,0,0,1,1,105315,18998,97605,116603
2,105325,121,0,0,1,1,105325,169984,1331,171315
2,105325,6627,0,0,1,1,105325,370744,19881,390625
2,105345,1,0,0,1,1,105345,735074,1,735075
2,105355,19683,0,0,1,1,105355,79576,59049,138625
2,105355,42875,0,0,1,1,105355,100224,300125,400349
2,105355,68121,0,0,1,1,105355,709760,476847,1186607
2,105415,1,0,0,1,1,105415,373490,1,373491
2,105415,15317,0,0,1,1,105415,511758,15317,527075
2,105453,11717,0,0,1,1,105453,4724384,58585,4782969
2,105453,15625,0,0,1,1,105453,128,109375,109503
2,105453,105453,0,0,4,1,105453,194672,105453,300125
2,105493,83,0,0,1,1,105493,156250,83,156333
2,105493,541,0,0,1,1,105493,528736,2705,531441
2,105495,3,0,0,1,1,105495,107650,3,107653
2,105495,15071,0,0,1,1,105495,128,105497,105625
