U,d,sigma1,sigma2,sigma3,r,t,e,a,b,n
2,27531,16807,0,0,1,1,27531,12672,117649,130321
2,27538,2,0,0,2,1,27538,175616,9,175625
2,27538,4,0,0,4,1,27538,175616,9,175625
2,27553,729,0,0,1,1,27553,55778,729,56507
2,27555,1621,0,0,1,1,27555,45254,1621,46875
2,27573,1,0,0,2,1,27573,84032,3,84035
2,27573,125,0,0,1,1,27573,32768,1875,34643
2,27573,441,0,0,1,1,27573,136552,1323,137875
2,27577,24389,0,0,1,1,27577,5014,24389,29403
2,27610,10,0,0,4,1,27610,257024,25,257049
2,27643,1,0,0,2,1,27643,300124,1,300125
2,27643,5,0,0,1,1,27643,184832,45,184877
2,27643,97,0,0,1,1,27643,61952,873,62825
2,27643,97,0,0,1,1,27643,480200,291,480491
2,27643,605,0,0,1,1,27643,47142,605,47747
2,27643,1805,0,0,1,1,27643,38024,5415,43439
2,27643,2299,0,0,1,1,27643,23328,11495,34823
2,27643,2513,0,0,1,1,27643,18432,27643,46075
2,27643,2513,0,0,1,1,27643,169362,2513,171875
2,27643,3949,0,0,1,1,27643,256000,43439,299439
2,27643,3969,0,0,1,1,27643,7040,27783,34823
2,27643,6111,0,0,1,1,27643,54872,18333,73205
2,27643,6875,0,0,1,1,27643,11552,34375,45927
2,27643,9261,0,0,1,1,27643,31592,27783,59375
2,27643,9747,0,0,1,1,27643,93896,29241,123137
2,27643,16807,0,0,1,1,27643,18818,16807,35625
2,27643,16807,0,0,1,1,27643,12672,117649,130321
2,27643,24057,0,0,1,1,27643,18818,24057,42875
2,27690,142,0,0,4,1,27690,50176,355,50531
2,27690,284,0,0,8,1,27690,50176,355,50531
2,27693,9,0,0,1,1,27693,131072,153,131225
2,27693,191,0,0,1,1,27693,531250,191,531441
2,27693,10875,0,0,1,1,27693,136,32625,32761
2,27725,1631,0,0,1,1,27725,1228250,1631,1229881
2,27727,1,0,0,2,1,27727,31212,1,31213
2,27753,1,0,0,2,1,27753,72500,1,72501
2,27753,5,0,0,1,1,27753,41184,25,41209
2,27753,11,0,0,1,1,27753,68614,11,68625
2,27753,11,0,0,2,1,27753,28420,11,28431
2,27753,13,0,0,1,1,27753,59392,143,59535
2,27753,13,0,0,1,1,27753,151250,13,151263
2,27753,29,0,0,1,1,27753,59290,29,59319
2,27753,29,0,0,4,1,27753,102400,87,102487
2,27753,29,0,0,4,1,27753,118096,29,118125
2,27753,49,0,0,1,1,27753,40832,343,41175
2,27753,91,0,0,1,1,27753,80736,455,81191
2,27753,121,0,0,1,1,27753,533750,121,533871
2,27753,169,0,0,1,1,27753,38430,169,38599
2,27753,245,0,0,1,1,27753,268034,245,268279
2,27753,625,0,0,1,1,27753,41846,625,42471
2,27753,1625,0,0,1,1,27753,322102,1625,323727
2,27753,2187,0,0,1,1,27753,99064,6561,105625
2,27753,2673,0,0,1,1,27753,215818,2673,218491
2,27753,3509,0,0,1,1,27753,39366,3509,42875
2,27753,3773,0,0,1,1,27753,193024,33957,226981
2,27753,9947,0,0,1,1,27753,132858,9947,142805
2,27753,10179,0,0,1,1,27753,88,30537,30625
2,27753,10309,0,0,1,1,27753,33614,10309,43923
2,27753,12383,0,0,1,1,27753,170368,86681,257049
2,27753,16731,0,0,1,1,27753,210250,16731,226981
2,27753,18605,0,0,1,1,27753,8736,93025,101761
2,27753,21125,0,0,1,1,27753,2048,232375,234423
2,27753,24389,0,0,1,1,27753,1152,170723,171875
2,27775,625,0,0,1,1,27775,159176,1875,161051
2,27775,2187,0,0,1,1,27775,468512,10935,479447
2,27795,1,0,0,1,1,27795,35200,7,35207
2,27795,1,0,0,1,1,27795,79134,1,79135
2,27795,1,0,0,2,1,27795,31500,1,31501
2,27795,1,0,0,2,1,27795,91124,1,91125
2,27795,5,0,0,1,1,27795,93312,35,93347
2,27795,5,0,0,1,1,27795,184832,45,184877
2,27795,5,0,0,4,1,27795,32368,5,32373
2,27795,11,0,0,1,1,27795,88434,11,88445
2,27795,15,0,0,1,1,27795,39304,45,39349
2,27795,17,0,0,1,1,27795,68590,17,68607
2,27795,19,0,0,1,1,27795,36992,133,37125
2,27795,109,0,0,1,1,27795,34816,1199,36015
2,27795,323,0,0,1,1,27795,387072,3553,390625
2,27795,327,0,0,8,1,27795,34048,327,34375
2,27795,361,0,0,1,1,27795,37026,361,37387
2,27795,459,0,0,1,1,27795,261250,459,261709
2,27795,675,0,0,1,1,27795,74774,675,75449
2,27795,945,0,0,1,1,27795,219488,4725,224213
2,27795,1853,0,0,1,1,27795,52822,1853,54675
2,27795,2125,0,0,1,1,27795,33614,2125,35739
2,27795,2527,0,0,1,1,27795,17280,17689,34969
2,27795,3645,0,0,1,1,27795,5632,32805,38437
2,27795,5929,0,0,1,1,27795,31250,5929,37179
2,27795,6137,0,0,1,1,27795,31250,6137,37387
2,27795,6517,0,0,1,1,27795,14824,19551,34375
2,27795,6859,0,0,1,1,27795,96,34295,34391
2,27795,6859,0,0,1,1,27795,13952,48013,61965
2,27795,6875,0,0,1,1,27795,11552,34375,45927
2,27795,9747,0,0,1,1,27795,26378,9747,36125
2,27795,12705,0,0,1,1,27795,557056,190575,747631
2,27795,16807,0,0,1,1,27795,12672,117649,130321
2,27795,16807,0,0,1,1,27795,274550,16807,291357
2,27795,19683,0,0,1,1,27795,181016,59049,240065
2,27805,1,0,0,1,1,27805,177952,5,177957
2,27805,1,0,0,4,1,27805,62000,1,62001
2,27805,3,0,0,1,1,27805,112216,9,112225
2,27805,9,0,0,1,1,27805,34304,81,34385
2,27805,2197,0,0,1,1,27805,156250,2197,158447
2,27805,5427,0,0,1,1,27805,2656,27135,29791
2,27805,8775,0,0,1,1,27805,32,43875,43907
2,27805,25947,0,0,1,1,27805,425984,389205,815189
2,27805,27135,0,0,1,1,27805,1426,27135,28561
2,27823,27823,0,0,2,1,27823,48020,27823,75843
2,27828,2,0,0,2,1,27828,64000,9,64009
2,27828,4,0,0,4,1,27828,64000,9,64009
2,27828,8,0,0,8,1,27828,64000,9,64009
2,27853,173,0,0,1,1,27853,60662,173,60835
2,27853,5625,0,0,1,1,27853,67712,39375,107087
2,27853,15625,0,0,1,1,27853,128,109375,109503
2,27853,16807,0,0,1,1,27853,13122,16807,29929
2,27861,1,0,0,4,1,27861,88208,1,88209
2,27883,625,0,0,1,1,27883,223064,1875,224939
2,27883,27883,0,0,1,1,27883,242,27883,28125
2,27885,1,0,0,1,1,27885,166374,1,166375
2,27895,7803,0,0,1,1,27895,31250,7803,39053
2,27907,10443,0,0,1,1,27907,107206,10443,117649
2,27907,11961,0,0,1,1,27907,2408,35883,38291
2,27909,4693,0,0,1,1,27909,33614,4693,38307
2,27937,19321,0,0,1,1,27937,32562,19321,51883
2,27949,16807,0,0,1,1,27949,12672,117649,130321
2,27963,1,0,0,2,1,27963,31212,1,31213
2,27963,1,0,0,2,1,27963,336140,1,336141
2,27963,1,0,0,4,1,27963,28560,1,28561
2,27963,27,0,0,1,1,27963,108664,81,108745
2,27963,85,0,0,1,1,27963,33614,85,33699
2,27963,239,0,0,1,1,27963,28322,239,28561
2,27963,289,0,0,1,1,27963,406250,289,406539
2,27963,441,0,0,1,1,27963,39950,441,40391
2,27963,729,0,0,1,1,27963,24064,6561,30625
2,27963,1053,0,0,1,1,27963,28322,1053,29375
2,27963,2197,0,0,1,1,27963,120050,2197,122247
2,27963,3645,0,0,1,1,27963,99424,18225,117649
2,27963,8883,0,0,1,1,27963,1912,26649,28561
2,27963,11233,0,0,1,1,27963,31250,11233,42483
2,27963,11421,0,0,1,1,27963,913952,57105,971057
2,27963,11907,0,0,1,1,27963,47800,35721,83521
2,27963,14739,0,0,1,1,27963,15886,14739,30625
2,27963,19683,0,0,1,1,27963,5408,98415,103823
2,27973,11979,0,0,1,1,27973,127150,11979,139129
2,27993,1,0,0,1,1,27993,203390,1,203391
2,27993,43,0,0,2,1,27993,50176,215,50391
2,27993,43,0,0,2,1,27993,60500,43,60543
2,27993,49,0,0,1,1,27993,940896,245,941141
2,27993,275,0,0,1,1,27993,59168,1375,60543
2,27993,509,0,0,1,1,27993,29282,509,29791
2,27993,509,0,0,1,1,27993,93312,3563,96875
2,27993,3069,0,0,1,1,27993,625000,9207,634207
2,27993,3751,0,0,1,1,27993,92450,3751,96201
2,27993,4581,0,0,1,1,27993,681472,41229,722701
2,27993,6727,0,0,1,1,27993,16288,33635,49923
2,27993,9245,0,0,1,1,27993,864,46225,47089
2,27993,12005,0,0,1,1,27993,992,60025,61017
2,27993,15625,0,0,1,1,27993,58806,15625,74431
2,27993,15625,0,0,1,1,27993,260608,140625,401233
2,27993,25947,0,0,1,1,27993,3698,25947,29645
2,27993,26257,0,0,1,1,27993,5090,26257,31347
2,55062,33614,0,0,2,2,27531,12672,117649,130321
2,55076,4,0,0,4,2,27538,175616,9,175625
2,55076,8,0,0,8,2,27538,175616,9,175625
2,55106,1458,0,0,2,2,27553,55778,729,56507
2,55110,3242,0,0,2,2,27555,45254,1621,46875
2,55146,2,0,0,4,2,27573,84032,3,84035
2,55146,250,0,0,2,2,27573,32768,1875,34643
2,55146,882,0,0,2,2,27573,136552,1323,137875
2,55154,48778,0,0,2,2,27577,5014,24389,29403
2,55220,20,0,0,8,2,27610,257024,25,257049
2,55286,2,0,0,4,2,27643,300124,1,300125
2,55286,10,0,0,2,2,27643,184832,45,184877
2,55286,194,0,0,2,2,27643,61952,873,62825
2,55286,194,0,0,2,2,27643,480200,291,480491
2,55286,1210,0,0,2,2,27643,47142,605,47747
2,55286,3610,0,0,2,2,27643,38024,5415,43439
2,55286,4598,0,0,2,2,27643,23328,11495,34823
2,55286,5026,0,0,2,2,27643,18432,27643,46075
2,55286,5026,0,0,2,2,27643,169362,2513,171875
2,55286,7898,0,0,2,2,27643,256000,43439,299439
2,55286,7938,0,0,2,2,27643,7040,27783,34823
2,55286,12222,0,0,2,2,27643,54872,18333,73205
2,55286,13750,0,0,2,2,27643,11552,34375,45927
2,55286,18522,0,0,2,2,27643,31592,27783,59375
2,55286,19494,0,0,2,2,27643,93896,29241,123137
2,55286,33614,0,0,2,2,27643,18818,16807,35625
2,55286,33614,0,0,2,2,27643,12672,117649,130321
2,55286,48114,0,0,2,2,27643,18818,24057,42875
2,55380,284,0,0,8,2,27690,50176,355,50531
2,55380,568,0,0,16,2,27690,50176,355,50531
2,55386,18,0,0,2,2,27693,131072,153,131225
2,55386,382,0,0,2,2,27693,531250,191,531441
2,55386,21750,0,0,2,2,27693,136,32625,32761
2,55450,3262,0,0,2,2,27725,1228250,1631,1229881
2,55454,2,0,0,4,2,27727,31212,1,31213
2,55506,2,0,0,4,2,27753,72500,1,72501
