U,d,sigma1,sigma2,sigma3,r,t,e,a,b,n
22,2379,3,3,0,3,3,793,1430,1,1431
22,2379,9,9,0,3,3,793,3718,3,3721
22,2394,2394,2394,0,18,18,133,110,133,243
22,2412,2412,2412,0,4,4,603,22,603,625
22,2415,735,2205,0,5,5,483,88,441,529
22,2415,1875,1875,0,5,5,483,154,375,529
22,2418,186,186,0,6,6,403,594,31,625
22,2448,16,16,0,16,16,153,374,1,375
22,2451,729,2187,0,3,3,817,1672,729,2401
22,2457,27,81,0,9,9,273,616,9,625
22,2465,2465,2465,0,17,17,145,198,145,343
22,2472,2472,2472,0,24,24,103,22,103,125
22,2485,2485,2485,0,7,7,355,374,355,729
22,2520,24,72,0,8,8,315,616,9,625
22,2527,2527,2527,0,19,19,133,110,133,243
22,2575,2575,2575,0,25,25,103,22,103,125
22,2601,17,17,0,17,17,153,374,1,375
22,2610,2610,2610,0,18,18,145,198,145,343
22,2652,20,20,0,4,4,663,1078,5,1083
22,2652,108,108,0,4,4,663,1078,27,1105
22,2660,2660,2660,0,20,20,133,110,133,243
22,2678,2678,2678,0,26,26,103,22,103,125
22,2703,189,1323,0,3,3,901,1408,441,1849
22,2709,189,1323,0,3,3,903,1408,441,1849
22,2718,162,486,0,6,6,453,1144,81,1225
22,2730,30,90,0,10,10,273,616,9,625
22,2754,18,18,0,18,18,153,374,1,375
22,2755,2755,2755,0,19,19,145,198,145,343
22,2781,2781,2781,0,27,27,103,22,103,125
22,2793,2793,2793,0,21,21,133,110,133,243
22,2820,188,188,0,4,4,705,1078,47,1125
22,2821,217,217,0,7,7,403,594,31,625
22,2835,27,81,0,9,9,315,616,9,625
22,2840,2840,2840,0,8,8,355,374,355,729
22,2884,2884,2884,0,28,28,103,22,103,125
22,2898,882,2646,0,6,6,483,88,441,529
22,2898,2250,2250,0,6,6,483,154,375,529
22,2900,2900,2900,0,20,20,145,198,145,343
22,2907,19,19,0,19,19,153,374,1,375
22,2926,2926,2926,0,22,22,133,110,133,243
22,2987,2987,2987,0,29,29,103,22,103,125
22,3003,33,99,0,11,11,273,616,9,625
22,3015,3015,3015,0,5,5,603,22,603,625
