U,d,sigma1,sigma2,sigma3,r,t,e,a,b,n
26,2379,2379,2379,0,39,39,61,182,61,243
26,2387,2387,2387,0,11,11,217,26,217,243
26,2400,160,800,0,32,32,75,416,25,441
26,2415,21,63,0,7,7,345,520,9,529
26,2420,2420,2420,0,44,44,55,26,55,81
26,2428,2428,2428,0,4,4,607,234,607,841
26,2430,450,1350,0,6,6,405,1144,225,1369
26,2440,2440,2440,0,40,40,61,182,61,243
26,2460,492,2460,0,12,12,205,416,205,621
26,2472,120,600,0,24,24,103,416,25,441
26,2475,135,405,0,5,5,495,1144,81,1225
26,2475,165,825,0,33,33,75,416,25,441
26,2475,2475,2475,0,45,45,55,26,55,81
26,2501,2501,2501,0,41,41,61,182,61,243
26,2508,108,324,0,4,4,627,1976,81,2057
26,2530,2530,2530,0,46,46,55,26,55,81
26,2547,2547,2547,0,9,9,283,78,283,361
26,2550,170,850,0,34,34,75,416,25,441
26,2562,2562,2562,0,42,42,61,182,61,243
26,2565,45,225,0,9,9,285,416,25,441
26,2575,125,625,0,25,25,103,416,25,441
26,2585,869,869,0,11,11,235,650,79,729
26,2585,2585,2585,0,47,47,55,26,55,81
26,2604,2604,2604,0,12,12,217,26,217,243
26,2615,2615,2615,0,5,5,523,702,523,1225
