U,d,sigma1,sigma2,sigma3,r,t,e,a,b,n
3,30028,14641,0,0,1,1,30028,46875,14641,61516
3,30038,1,0,0,1,1,30038,60831,4,60835
3,30044,23548,0,0,1,1,30044,9213,23548,32761
3,30056,1,0,0,3,1,30056,31212,1,31213
3,30056,15232,0,0,1,1,30056,81,60928,61009
3,30058,12769,0,0,1,1,30058,249375,12769,262144
3,30058,18871,0,0,1,1,30058,41154,18871,60025
3,30070,7936,0,0,1,1,30070,52089,7936,60025
3,30094,4,0,0,1,1,30094,44403,4,44407
3,30098,625,0,0,1,1,30098,66603,625,67228
3,30098,2980,0,0,1,1,30098,6561,23840,30401
3,30098,6880,0,0,1,1,30098,243,34400,34643
3,30098,25856,0,0,1,1,30098,57663,51712,109375
3,30100,4,0,0,1,1,30100,253125,16,253141
3,30100,13456,0,0,1,1,30100,89787,13456,103243
3,30100,16384,0,0,1,1,30100,29841,16384,46225
3,30100,22144,0,0,1,1,30100,2025,88576,90601
3,30100,29929,0,0,1,1,30100,6321,29929,36250
3,30128,49,0,0,1,1,30128,72312,49,72361
3,30128,625,0,0,1,1,30128,134799,625,135424
3,30128,12167,0,0,1,1,30128,217083,12167,229250
3,30128,17161,0,0,1,1,30128,16464,17161,33625
3,30128,17161,0,0,1,1,30128,55200,17161,72361
3,30132,8192,0,0,1,1,30132,42237,16384,58621
3,30140,18769,0,0,1,1,30140,34992,131383,166375
3,30158,1,0,0,3,1,30158,113535,1,113536
3,30158,841,0,0,1,1,30158,48000,841,48841
3,30158,23062,0,0,1,1,30158,219501,46124,265625
3,30158,24389,0,0,1,1,30158,393216,24389,417605
3,30158,28561,0,0,1,1,30158,36975,28561,65536
3,30160,1,0,0,3,1,30160,55296,1,55297
3,30160,3625,0,0,1,1,30160,29403,18125,47528
3,30160,10000,0,0,1,1,30160,111051,50000,161051
3,30160,11425,0,0,1,1,30160,29403,57125,86528
3,30168,22400,0,0,1,1,30168,6561,179200,185761
3,30170,22400,0,0,1,1,30170,6561,179200,185761
