U,d,sigma1,sigma2,sigma3,r,t,e,a,b,n
4,10003,25,0,0,1,1,10003,50176,125,50301
4,10003,1225,0,0,1,1,10003,9216,6125,15341
4,10008,490,0,0,1,1,10008,57824,1225,59049
4,10008,1078,0,0,1,1,10008,16000,3773,19773
4,10008,2002,0,0,1,1,10008,10368,7007,17375
4,10008,3042,0,0,1,1,10008,5632,13689,19321
4,10008,7938,0,0,1,1,10008,32,19845,19877
4,10008,8918,0,0,1,1,10008,17792,31213,49005
4,10015,2809,0,0,1,1,10015,12500,2809,15309
4,10017,4293,0,0,1,1,10017,64,12879,12943
4,10021,6939,0,0,1,1,10021,7744,20817,28561
4,10023,125,0,0,1,1,10023,43308,125,43433
4,10045,1,0,0,1,1,10045,142884,1,142885
4,10045,243,0,0,1,1,10045,38080,729,38809
4,10045,4913,0,0,1,1,10045,7092,4913,12005
4,10045,9653,0,0,1,1,10045,972,9653,10625
4,10050,3350,0,0,2,1,10050,9216,8375,17591
4,10050,6700,0,0,4,1,10050,9216,8375,17591
4,10063,1,0,0,2,1,10063,14640,1,14641
4,10063,10063,0,0,1,1,10063,1100,10063,11163
4,10065,1,0,0,2,1,10065,14640,1,14641
4,10098,918,0,0,1,1,10098,131072,7803,138875
4,10108,4750,0,0,1,1,10108,32,11875,11907
4,10120,2,0,0,1,1,10120,64000,9,64009
4,10120,4,0,0,2,1,10120,64000,9,64009
4,10120,1782,0,0,1,1,10120,7712,4455,12167
4,10120,3750,0,0,1,1,10120,9016,5625,14641
4,10125,1125,0,0,1,1,10125,27436,1125,28561
4,10135,2883,0,0,1,1,10135,6976,8649,15625
4,10143,25,0,0,1,1,10143,50176,125,50301
4,10150,1458,0,0,1,1,10150,24064,6561,30625
4,10153,8875,0,0,1,1,10153,2708,8875,11583
4,10163,10163,0,0,2,1,10163,1712,10163,11875
4,10164,242,0,0,1,1,10164,82432,1089,83521
4,10164,442,0,0,1,1,10164,14336,2431,16767
4,10164,484,0,0,2,1,10164,82432,1089,83521
4,10164,4394,0,0,1,1,10164,36992,15379,52371
4,10183,8575,0,0,1,1,10183,19652,8575,28227
4,10185,5917,0,0,1,1,10185,54108,5917,60025
4,10195,10125,0,0,1,1,10195,484,10125,10609
4,10197,4653,0,0,1,1,10197,42436,4653,47089
4,10203,1125,0,0,1,1,10203,27436,1125,28561
4,10210,810,0,0,1,1,10210,10952,1215,12167
4,10218,162,0,0,1,1,10218,42632,243,42875
4,10218,6550,0,0,1,1,10218,69984,16375,86359
4,10228,9610,0,0,1,1,10228,32,24025,24057
4,10230,9610,0,0,1,1,10230,32,24025,24057
4,10255,263,0,0,1,1,10255,16384,1841,18225
4,10260,4750,0,0,1,1,10260,32,11875,11907
4,10270,5778,0,0,1,1,10270,2560,26001,28561
4,10283,343,0,0,1,1,10283,16384,2401,18785
4,10283,9605,0,0,1,1,10283,1024,48025,49049
4,10293,5183,0,0,1,1,10293,14500,5183,19683
4,10302,54,0,0,1,1,10302,11776,243,12019
4,10318,8978,0,0,1,1,10318,8,13467,13475
4,10323,1,0,0,2,1,10323,87024,1,87025
4,10323,625,0,0,1,1,10323,37888,3125,41013
4,10323,1701,0,0,1,1,10323,13924,1701,15625
4,10323,2183,0,0,1,1,10323,17500,2183,19683
4,10323,2883,0,0,1,1,10323,13924,2883,16807
4,10335,169,0,0,1,1,10335,51516,169,51685
4,10351,121,0,0,1,1,10351,15876,121,15997
4,10353,1,0,0,1,1,10353,31500,1,31501
4,10353,289,0,0,1,1,10353,12500,289,12789
4,10353,361,0,0,1,1,10353,12644,361,13005
4,10353,729,0,0,1,1,10353,70756,729,71485
4,10353,867,0,0,1,1,10353,9280,2601,11881
4,10353,1225,0,0,1,1,10353,30276,1225,31501
4,10353,2187,0,0,1,1,10353,57188,2187,59375
4,10353,3125,0,0,1,1,10353,11172,3125,14297
4,10353,6375,0,0,1,1,10353,9604,6375,15979
4,10353,8381,0,0,1,1,10353,3500,8381,11881
4,10363,10363,0,0,4,1,10363,6912,10363,17275
4,10385,1,0,0,2,1,10385,71824,1,71825
4,10393,121,0,0,1,1,10393,187500,121,187621
4,10393,1331,0,0,1,1,10393,9604,1331,10935
4,10393,2375,0,0,1,1,10393,9604,2375,11979
4,10395,1331,0,0,1,1,10395,9604,1331,10935
4,10395,3025,0,0,1,1,10395,47628,3025,50653
4,10413,27,0,0,1,1,10413,28480,81,28561
4,10428,10,0,0,1,1,10428,22176,25,22201
4,10428,54,0,0,1,1,10428,22120,81,22201
4,10428,3318,0,0,1,1,10428,10648,4977,15625
4,10428,7742,0,0,1,1,10428,128,27097,27225
4,10437,8019,0,0,1,1,10437,8788,8019,16807
4,10438,6250,0,0,1,1,10438,32,15625,15657
4,10450,450,0,0,1,1,10450,10648,675,11323
4,10458,9414,0,0,1,1,10458,512,42363,42875
4,10465,25,0,0,1,1,10465,50176,125,50301
4,10465,3125,0,0,1,1,10465,114244,3125,117369
4,10465,5145,0,0,1,1,10465,1024,25725,26749
4,10465,6877,0,0,1,1,10465,8748,6877,15625
4,10465,8141,0,0,1,1,10465,26244,8141,34385
4,10465,9375,0,0,1,1,10465,74432,28125,102557
4,10470,490,0,0,1,1,10470,11168,1225,12393
4,10470,6250,0,0,1,1,10470,5984,15625,21609
4,10505,125,0,0,1,1,10505,14516,125,14641
4,10525,9251,0,0,1,1,10525,1684,9251,10935
4,10528,1458,0,0,1,1,10528,24064,6561,30625
4,10528,2538,0,0,1,1,10528,13000,3807,16807
4,10540,1550,0,0,1,1,10540,8032,3875,11907
4,10543,1125,0,0,1,1,10543,27436,1125,28561
4,10543,3125,0,0,1,1,10543,18772,3125,21897
4,10543,10543,0,0,1,1,10543,1332,10543,11875
4,10591,749,0,0,1,1,10591,16384,5243,21627
4,10591,5831,0,0,1,1,10591,38092,5831,43923
4,10593,1,0,0,2,1,10593,26000,1,26001
4,10593,9,0,0,2,1,10593,11440,9,11449
4,10603,25,0,0,1,1,10603,50176,125,50301
4,10603,2187,0,0,1,1,10603,40000,6561,46561
4,10603,7889,0,0,1,1,10603,3636,7889,11525
4,10612,5306,0,0,1,1,10612,512,23877,24389
4,10612,10612,0,0,2,1,10612,512,23877,24389
4,10633,9,0,0,1,1,10633,21952,27,21979
4,10638,18,0,0,2,1,10638,12608,27,12635
4,10638,4750,0,0,1,1,10638,32,11875,11907
4,10659,1,0,0,2,1,10659,23408,1,23409
4,10668,378,0,0,1,1,10668,10240,2079,12319
4,10668,486,0,0,1,1,10668,15400,729,16129
4,10668,6250,0,0,1,1,10668,27936,15625,43561
4,10668,7546,0,0,1,1,10668,1000,11319,12319
4,10678,6,0,0,1,1,10678,25000,9,25009
4,10693,1,0,0,2,1,10693,34224,1,34225
4,10701,27,0,0,1,1,10701,14036,27,14063
4,10701,957,0,0,1,1,10701,8896,2871,11767
4,10703,2141,0,0,1,1,10703,12500,2141,14641
4,10703,2401,0,0,1,1,10703,94204,2401,96605
4,10725,121,0,0,1,1,10725,19652,121,19773
4,10725,1275,0,0,1,1,10725,10816,3825,14641
4,10725,3125,0,0,1,1,10725,32812,3125,35937
