U,d,sigma1,sigma2,sigma3,r,t,e,a,b,n
2,126005,1,0,0,1,1,126005,322102,1,322103
2,126033,8575,0,0,1,1,126033,406432,42875,449307
2,126075,1,0,0,2,1,126075,137780,1,137781
2,126123,1,0,0,4,1,126123,291600,1,291601
2,126133,80919,0,0,1,1,126133,156250,80919,237169
2,126175,10609,0,0,1,1,126175,262766,10609,273375
2,126201,42849,0,0,1,1,126201,13112,128547,141659
2,126201,47089,0,0,1,1,126201,128,329623,329751
2,126205,47547,0,0,1,1,126205,1000,142641,143641
2,126243,1,0,0,2,1,126243,137780,1,137781
2,126291,43923,0,0,1,1,126291,2888,131769,134657
2,126355,3,0,0,1,1,126355,1874152,9,1874161
2,126355,245,0,0,1,1,126355,1770336,1225,1771561
2,126355,16807,0,0,1,1,126355,48000,117649,165649
2,126355,64827,0,0,1,1,126355,661144,194481,855625
2,126385,51793,0,0,1,1,126385,622976,362551,985527
2,126385,53851,0,0,1,1,126385,225990,53851,279841
2,126423,46875,0,0,1,1,126423,449878,46875,496753
2,126445,41019,0,0,1,1,126445,1042568,123057,1165625
2,126448,2,0,0,2,1,126448,175616,9,175625
2,126448,4,0,0,4,1,126448,175616,9,175625
2,126448,8,0,0,8,1,126448,175616,9,175625
2,126483,14801,0,0,1,1,126483,196830,14801,211631
2,126483,16659,0,0,1,1,126483,146944,149931,296875
