U,d,sigma1,sigma2,sigma3,r,t,e,a,b,n
2,31003,1,0,0,1,1,31003,65610,1,65611
2,31003,1,0,0,2,1,31003,33124,1,33125
2,31003,81,0,0,1,1,31003,103000,243,103243
2,31003,4375,0,0,1,1,31003,84872,13125,97997
2,31003,6561,0,0,1,1,31003,5408,32805,38213
2,31003,11907,0,0,1,1,31003,21218,11907,33125
2,31003,15625,0,0,1,1,31003,63882,15625,79507
2,31003,16807,0,0,1,1,31003,21218,16807,38025
2,31003,17415,0,0,1,1,31003,17914,17415,35329
2,31003,26875,0,0,1,1,31003,183168,188125,371293
2,31003,30051,0,0,1,1,31003,48074,30051,78125
2,31029,5929,0,0,1,1,31029,51584,41503,93087
2,31050,50,0,0,4,1,31050,50176,125,50301
2,31050,100,0,0,8,1,31050,50176,125,50301
2,31057,1,0,0,2,1,31057,31212,1,31213
2,31057,24389,0,0,1,1,31057,68782,24389,93171
2,31141,16807,0,0,1,1,31141,12672,117649,130321
2,31155,5,0,0,1,1,31155,520992,25,521017
2,31161,243,0,0,1,1,31161,48598,243,48841
2,31215,19683,0,0,1,1,31215,31250,19683,50933
2,31227,22253,0,0,1,1,31227,21376,155771,177147
2,31255,361,0,0,1,1,31255,33614,361,33975
2,31255,1083,0,0,1,1,31255,56776,3249,60025
2,31255,1805,0,0,1,1,31255,33824,9025,42849
2,31255,11325,0,0,1,1,31255,73696,56625,130321
2,31255,12005,0,0,1,1,31255,49726,12005,61731
2,31255,15625,0,0,1,1,31255,128,109375,109503
2,31263,16551,0,0,1,1,31263,1000,49653,50653
2,31263,19683,0,0,1,1,31263,17576,59049,76625
2,31293,1,0,0,4,1,31293,227600,1,227601
2,31293,1331,0,0,1,1,31293,354294,1331,355625
2,31295,29155,0,0,1,1,31295,3872,145775,149647
2,31315,1,0,0,2,1,31315,160380,1,160381
2,31323,10441,0,0,1,1,31323,120050,10441,130491
2,31329,3481,0,0,1,1,31329,208658,3481,212139
2,31353,1,0,0,8,1,31353,186624,1,186625
2,31363,27,0,0,1,1,31363,265598,27,265625
2,31365,1,0,0,2,1,31365,142884,1,142885
2,31365,9,0,0,1,1,31365,35848,27,35875
2,31365,11767,0,0,1,1,31365,1152,82369,83521
2,31393,1,0,0,8,1,31393,76544,1,76545
2,31393,15625,0,0,1,1,31393,128,109375,109503
2,31395,1,0,0,8,1,31395,76544,1,76545
2,31395,9555,0,0,1,1,31395,251176,28665,279841
2,31395,15625,0,0,1,1,31395,128,109375,109503
2,31405,1805,0,0,1,1,31405,26912,9025,35937
2,31443,625,0,0,1,1,31443,70688,3125,73813
2,31465,125,0,0,1,1,31465,99954,125,100079
2,31465,4205,0,0,1,1,31465,62496,21025,83521
2,31465,27783,0,0,1,1,31465,55738,27783,83521
2,31470,2,0,0,2,1,31470,175616,9,175625
2,31470,4,0,0,4,1,31470,175616,9,175625
2,31470,8,0,0,8,1,31470,175616,9,175625
2,62006,2,0,0,2,2,31003,65610,1,65611
2,62006,2,0,0,4,2,31003,33124,1,33125
2,62006,162,0,0,2,2,31003,103000,243,103243
2,62006,8750,0,0,2,2,31003,84872,13125,97997
2,62006,13122,0,0,2,2,31003,5408,32805,38213
2,62006,23814,0,0,2,2,31003,21218,11907,33125
2,62006,31250,0,0,2,2,31003,63882,15625,79507
2,62006,33614,0,0,2,2,31003,21218,16807,38025
2,62006,34830,0,0,2,2,31003,17914,17415,35329
2,62006,53750,0,0,2,2,31003,183168,188125,371293
2,62006,60102,0,0,2,2,31003,48074,30051,78125
2,62058,11858,0,0,2,2,31029,51584,41503,93087
2,62100,100,0,0,8,2,31050,50176,125,50301
2,62100,200,0,0,16,2,31050,50176,125,50301
2,62114,2,0,0,4,2,31057,31212,1,31213
2,62114,48778,0,0,2,2,31057,68782,24389,93171
2,62282,33614,0,0,2,2,31141,12672,117649,130321
2,62310,10,0,0,2,2,31155,520992,25,521017
2,62322,486,0,0,2,2,31161,48598,243,48841
2,62430,39366,0,0,2,2,31215,31250,19683,50933
2,62454,44506,0,0,2,2,31227,21376,155771,177147
2,62510,722,0,0,2,2,31255,33614,361,33975
2,62510,2166,0,0,2,2,31255,56776,3249,60025
2,62510,3610,0,0,2,2,31255,33824,9025,42849
2,62510,22650,0,0,2,2,31255,73696,56625,130321
2,62510,24010,0,0,2,2,31255,49726,12005,61731
