U,d,sigma1,sigma2,sigma3,r,t,e,a,b,n
2,102505,25,0,0,1,1,102505,542944,125,543069
2,102505,125,0,0,1,1,102505,527904,625,528529
2,102505,19683,0,0,1,1,102505,5408,98415,103823
2,102513,34171,0,0,1,1,102513,109350,34171,143521
2,102543,5,0,0,1,1,102543,3764768,25,3764793
2,102555,125,0,0,1,1,102555,117024,625,117649
2,102555,12167,0,0,1,1,102555,268750,12167,280917
2,102555,15625,0,0,1,1,102555,128,109375,109503
2,102555,26875,0,0,1,1,102555,183168,188125,371293
2,102555,70225,0,0,1,1,102555,2592,351125,353717
2,102613,51375,0,0,1,1,102613,32,256875,256907
2,102655,52375,0,0,1,1,102655,479066,52375,531441
2,102663,59049,0,0,1,1,102663,131072,1003833,1134905
2,102765,1,0,0,2,1,102765,336140,1,336141
2,102765,169,0,0,1,1,102765,111104,1521,112625
2,102765,243,0,0,1,1,102765,277000,729,277729
2,102765,3125,0,0,1,1,102765,1173536,15625,1189161
2,102765,4131,0,0,1,1,102765,401408,53703,455111
2,102765,7225,0,0,1,1,102765,61056,50575,111631
2,102765,10985,0,0,1,1,102765,723168,54925,778093
2,102765,15625,0,0,1,1,102765,100842,15625,116467
2,102765,23625,0,0,1,1,102765,30752,118125,148877
2,102765,25947,0,0,1,1,102765,1146496,181629,1328125
2,102765,27931,0,0,1,1,102765,109850,27931,137781
2,102765,28561,0,0,1,1,102765,941192,85683,1026875
2,102765,48841,0,0,1,1,102765,8192,634933,643125
2,102765,67311,0,0,1,1,102765,49130,67311,116441
2,102765,70225,0,0,1,1,102765,62426,70225,132651
2,102765,76729,0,0,1,1,102765,742586,76729,819315
2,102765,76729,0,0,1,1,102765,232960,690561,923521
2,102765,78125,0,0,1,1,102765,303264,390625,693889
2,102765,83521,0,0,1,1,102765,93626,83521,177147
2,102765,101283,0,0,1,1,102765,32,506415,506447
2,102825,625,0,0,1,1,102825,354294,625,354919
2,102835,1,0,0,2,1,102835,137780,1,137781
2,102835,18225,0,0,1,1,102835,86984,54675,141659
2,102870,54,0,0,4,1,102870,117568,81,117649
2,102883,361,0,0,1,1,102883,439230,361,439591
2,102923,1,0,0,8,1,102923,135424,1,135425
2,102925,5,0,0,1,1,102925,131744,25,131769
2,102933,3,0,0,1,1,102933,117640,9,117649
2,102949,23111,0,0,1,1,102949,63488,254221,317709
2,102975,27,0,0,1,1,102975,3008000,243,3008243
